feature,gain
17,1408.9439697265625
15,868.8858032226562
10,397.5588073730469
28,338.4740905761719
8,333.9400329589844
12,292.0914306640625
9,230.1870574951172
5,187.3916015625
31,158.03378295898438
1,155.7664337158203
23,142.72540283203125
26,140.70591735839844
6,127.58880615234375
27,94.82415008544922
19,78.57777404785156
4,73.07645416259766
20,63.32375717163086
22,62.31827163696289
13,59.96867370605469
0,59.13506317138672
2,58.094139099121094
11,57.0592155456543
14,54.953155517578125
32,54.263328552246094
25,49.60732650756836
24,47.932586669921875
3,45.27894592285156
18,38.17731475830078
16,35.31430435180664
7,35.21821594238281
29,34.13188552856445
21,33.77739715576172
30,30.389814376831055
