feature,gain
7,1369.21826171875
17,545.5623168945312
9,466.2904968261719
10,228.30157470703125
24,162.74264526367188
20,162.13221740722656
31,151.2870330810547
4,145.29469299316406
13,109.00444030761719
16,102.20357513427734
29,98.28418731689453
8,92.25335693359375
30,90.1900634765625
0,82.45391082763672
3,77.38780975341797
1,72.27520751953125
15,69.69444274902344
11,61.431697845458984
19,61.31074523925781
23,61.19112777709961
18,54.18409729003906
14,49.265960693359375
12,48.55613327026367
21,44.40166473388672
28,44.23875427246094
25,41.179752349853516
2,37.28984069824219
27,36.22078323364258
5,35.6860466003418
22,34.007286071777344
6,30.12207794189453
26,24.968494415283203
