feature,gain
17,2127.331787109375
15,1450.0992431640625
10,846.9855346679688
8,690.796142578125
28,537.42529296875
12,513.628173828125
5,367.06756591796875
9,350.5021667480469
23,328.1927490234375
31,254.04647827148438
26,253.9876708984375
1,253.82009887695312
6,230.38760375976562
27,194.09228515625
24,146.21029663085938
22,141.40682983398438
19,139.8157196044922
13,120.60979461669922
20,115.3431396484375
0,112.85194396972656
4,109.60309600830078
14,104.79009246826172
11,88.93679809570312
3,81.42142486572266
2,72.6368408203125
32,71.1319351196289
25,66.34908294677734
16,53.05824279785156
18,45.09440994262695
