feature,gain
9,909.7255859375
7,637.65087890625
17,447.68597412109375
10,229.7230224609375
24,174.1064910888672
20,139.773193359375
31,135.62428283691406
29,100.39942932128906
0,87.26415252685547
13,79.51099395751953
1,76.36048889160156
16,75.9838638305664
30,75.35626220703125
4,74.0268783569336
15,68.60894012451172
18,65.41329193115234
3,60.657901763916016
19,56.706180572509766
23,56.26213455200195
12,51.49531936645508
25,47.712158203125
21,46.793846130371094
8,41.42811965942383
28,37.523963928222656
11,36.56694030761719
2,36.426429748535156
6,35.68596649169922
14,35.20737075805664
5,35.000301361083984
27,34.72676086425781
26,32.03343963623047
22,26.355693817138672
