feature,gain
17,683.57958984375
15,331.4351806640625
10,234.30694580078125
28,174.12452697753906
8,153.4735565185547
9,144.6912078857422
12,133.37962341308594
5,100.4814453125
1,99.89812469482422
31,86.56449127197266
23,77.3819351196289
6,68.43736267089844
27,57.381317138671875
4,53.097835540771484
26,50.80638122558594
19,47.29216384887695
11,44.71543502807617
20,43.091041564941406
0,42.2655143737793
2,39.77956771850586
22,38.634498596191406
13,38.250999450683594
18,33.63938522338867
14,32.89129638671875
32,31.430795669555664
25,30.169546127319336
24,29.88172149658203
29,28.716777801513672
3,27.922273635864258
16,26.962053298950195
21,25.511985778808594
7,24.938621520996094
30,23.973346710205078
