feature,gain
7,1473.3359375
9,408.6630859375
10,338.9024353027344
4,223.85598754882812
23,209.50897216796875
19,180.07981872558594
1,142.28204345703125
28,124.37332153320312
16,100.2088851928711
13,97.88184356689453
30,93.95164489746094
3,91.50740814208984
18,88.1876449584961
8,76.37770080566406
0,68.02096557617188
15,62.706851959228516
11,57.55060577392578
29,55.49782180786133
17,54.648014068603516
14,51.63453674316406
22,51.17837142944336
12,47.07048034667969
5,45.56631088256836
26,43.53961181640625
2,39.255733489990234
20,36.909095764160156
27,35.27741622924805
25,34.42242431640625
24,30.5760440826416
21,27.04275894165039
6,24.838134765625
