feature,gain
17,643.2953491210938
15,342.0010681152344
28,198.6585693359375
10,197.2454071044922
12,161.83566284179688
9,144.85215759277344
8,132.42855834960938
1,118.8071060180664
5,116.02862548828125
6,83.71394348144531
23,78.281982421875
31,69.36641693115234
4,61.68276596069336
19,49.63153839111328
27,48.901161193847656
20,46.38938522338867
0,43.363250732421875
26,42.81912612915039
11,40.732688903808594
13,39.93919372558594
22,36.7085075378418
2,32.593326568603516
32,31.517250061035156
25,31.516605377197266
18,31.445878982543945
14,28.991077423095703
3,28.683176040649414
24,27.958545684814453
7,25.464033126831055
16,24.100364685058594
21,23.92276382446289
30,21.26120948791504
29,20.466144561767578
