feature,gain
16,540.7153930664062
15,274.0103759765625
9,174.86172485351562
20,142.48072814941406
10,136.27438354492188
4,135.88128662109375
8,81.29479217529297
35,80.5273208618164
7,78.30889129638672
38,76.22764587402344
14,68.10836791992188
1,67.38458251953125
25,65.31305694580078
13,50.52330017089844
5,48.95748519897461
22,46.94679260253906
24,43.86493682861328
19,43.4557991027832
39,41.321048736572266
37,40.9128532409668
18,40.468666076660156
46,40.45512771606445
36,40.34765625
23,40.147804260253906
21,39.835594177246094
0,38.79594421386719
3,37.0796012878418
48,36.08247756958008
17,35.957496643066406
11,35.59388732910156
12,35.369537353515625
45,32.391807556152344
40,32.228878021240234
44,30.746471405029297
31,28.731971740722656
42,24.992998123168945
43,24.529512405395508
47,23.485258102416992
26,23.011457443237305
2,22.067750930786133
30,21.32752799987793
27,21.07714080810547
6,20.943769454956055
29,20.643218994140625
41,18.766756057739258
34,18.604368209838867
33,18.3636474609375
28,16.753908157348633
32,15.36531925201416
