feature,gain
4,1155.592041015625
10,394.8865966796875
17,211.4934539794922
8,197.9157257080078
9,195.8932342529297
27,183.34249877929688
11,177.9391326904297
7,154.41619873046875
1,135.9720001220703
15,117.69458770751953
0,116.49227905273438
14,116.43745422363281
3,115.13733673095703
24,111.12744140625
13,104.04318237304688
16,100.80703735351562
12,94.19023132324219
29,75.24528503417969
18,74.82642364501953
28,73.52687072753906
19,66.8526611328125
26,66.08544158935547
23,63.25526809692383
5,62.02000045776367
20,59.069889068603516
21,57.48871994018555
31,50.28172302246094
25,48.4434700012207
22,41.735530853271484
30,38.3531379699707
2,36.93216323852539
6,27.70514488220215
