feature,gain
7,776.32568359375
9,583.7028198242188
17,511.31207275390625
4,479.96649169921875
24,414.9772033691406
10,393.85992431640625
20,262.4437255859375
19,154.9868927001953
1,119.10765838623047
16,113.0675277709961
8,103.82591247558594
13,101.3936538696289
14,101.12516021728516
3,90.39998626708984
29,87.77703857421875
18,80.8281021118164
15,78.48219299316406
31,74.50102233886719
5,68.7597885131836
12,59.41270065307617
23,54.397804260253906
25,52.26539993286133
11,49.027706146240234
0,48.40011978149414
30,47.18320083618164
27,47.012794494628906
28,44.36589050292969
26,43.185157775878906
22,38.23785400390625
6,37.42628860473633
21,32.54580307006836
2,31.205829620361328
