feature,gain
4,1119.4390869140625
10,469.1755676269531
8,203.89794921875
3,202.95388793945312
26,199.8505859375
28,165.96168518066406
7,161.25177001953125
0,160.96046447753906
9,131.00421142578125
14,124.9792709350586
15,113.93527221679688
16,108.40624237060547
11,101.1673355102539
12,93.94098663330078
1,87.63951873779297
30,87.20685577392578
27,86.1583480834961
13,74.67280578613281
19,71.50164031982422
17,67.2974624633789
24,66.35064697265625
21,65.88326263427734
22,65.21829223632812
25,53.3804817199707
18,51.906429290771484
20,51.099388122558594
5,46.94856262207031
23,42.009517669677734
2,40.504634857177734
29,32.98427200317383
6,27.011676788330078
