feature,gain
9,422.9402160644531
8,250.9082794189453
13,85.79199981689453
30,80.91132354736328
3,66.88369750976562
6,66.49767303466797
4,61.50050735473633
10,57.853973388671875
11,55.89752960205078
12,54.284568786621094
18,53.038902282714844
31,46.696556091308594
7,46.56386184692383
5,45.81870651245117
1,43.917091369628906
28,37.35811996459961
15,36.84303283691406
16,35.25440216064453
17,31.545804977416992
14,30.465219497680664
32,27.131467819213867
0,26.960262298583984
2,25.886266708374023
33,25.63947868347168
24,24.10279655456543
19,22.000377655029297
29,21.795528411865234
36,21.623149871826172
23,18.311857223510742
22,17.9367733001709
20,17.240243911743164
35,17.153995513916016
21,16.78005027770996
27,15.231990814208984
26,14.209654808044434
34,13.854987144470215
25,12.521504402160645
