feature,gain
7,782.4580688476562
9,736.6810913085938
10,227.84613037109375
23,188.5777587890625
19,144.1409912109375
30,126.82533264160156
28,99.15711212158203
0,91.73660278320312
13,77.52901458740234
16,73.46080780029297
4,73.15986633300781
29,69.87358093261719
15,68.45053100585938
17,63.54018783569336
3,61.79807662963867
1,58.80198669433594
24,52.14773178100586
18,52.00321960449219
8,50.419456481933594
11,48.17380142211914
12,47.49814224243164
22,47.38273239135742
20,42.41938018798828
2,39.55817794799805
14,38.881744384765625
27,38.2785530090332
6,35.70319747924805
26,32.38477325439453
5,31.260995864868164
25,28.79420280456543
21,28.7401123046875
