feature,gain
7,1165.7149658203125
9,671.3096313476562
10,294.2083740234375
19,155.30906677246094
23,144.70066833496094
4,118.47248840332031
30,114.8279800415039
28,113.66226196289062
0,88.35578918457031
3,86.24524688720703
16,84.00565338134766
13,79.03654479980469
29,79.0341796875
18,74.79727172851562
8,65.8285140991211
22,62.418609619140625
1,59.552001953125
17,53.41046142578125
15,53.0462532043457
11,50.17919921875
14,48.2023811340332
24,45.97209548950195
27,44.751060485839844
26,42.85804748535156
2,39.030277252197266
5,36.45377731323242
20,36.19075012207031
12,35.45005798339844
21,32.9793701171875
6,31.5449275970459
25,28.335575103759766
