feature,gain
4,1191.015625
10,429.8583679199219
3,224.1912841796875
8,189.66004943847656
29,183.50277709960938
27,170.7100830078125
0,141.28590393066406
7,137.4997100830078
17,135.3910369873047
14,129.0703887939453
9,119.06246948242188
11,117.65711212158203
15,114.629638671875
16,105.26834106445312
31,105.11087799072266
1,99.59710693359375
12,97.90271759033203
28,85.87301635742188
13,78.11190795898438
23,75.1009292602539
20,69.94898986816406
22,65.0731201171875
25,62.63252258300781
18,61.366249084472656
26,58.82129669189453
19,52.48350524902344
21,47.31643295288086
30,45.6011848449707
5,43.955020904541016
24,38.442962646484375
2,29.488718032836914
6,28.145679473876953
