feature,gain
7,1133.12841796875
9,723.2437133789062
17,585.3482666015625
10,298.4832763671875
20,152.55044555664062
24,146.66265869140625
31,121.55386352539062
4,112.4244155883789
29,108.19701385498047
0,93.58587646484375
13,85.09444427490234
16,85.04254150390625
3,81.4128646850586
30,80.18754577636719
19,72.75358581542969
8,71.12882232666016
1,68.5604476928711
23,62.27616882324219
18,52.82161331176758
11,51.617469787597656
22,51.358917236328125
14,47.05741500854492
15,46.85436248779297
28,44.941532135009766
25,44.73940658569336
12,40.81965637207031
27,40.55270004272461
2,39.095211029052734
21,37.892948150634766
5,37.14722442626953
6,31.403118133544922
26,27.14634132385254
