max_depth,min_child_weight,best_iteration,train_auc,val_auc,auc_gap,train_logloss,val_logloss,ks_sig_D,ks_sig_p,ks_bkg_D,ks_bkg_p
4,10,498,0.8153998609809062,0.799890574949197,0.015509286031709202,0.5259519543256359,0.542444227505284,0.00697332909073628,0.32902099523509853,0.011612500000000026,0.026519592712238027
4,5,499,0.8158361425356234,0.7996533897894981,0.01618275274612535,0.5253395389935863,0.542613701085197,0.0076906576472651755,0.22370626609277056,0.013050000000000006,0.008519788234648122
4,30,499,0.8142328515081863,0.7996310113987906,0.014601840109395692,0.5271279813335885,0.5426742343143709,0.006833073095755815,0.35305860324041505,0.01056250000000003,0.055906175309617945
4,20,499,0.8145154898783925,0.7995725715772304,0.014942918301162122,0.5267974281004733,0.5426751226698593,0.007113613248534434,0.30611066457709424,0.010724999999999985,0.05004254964026822
3,30,499,0.8017243350114343,0.7955426686413088,0.006181666370125405,0.5408111115343569,0.547275809492084,0.003209379310237126,0.9909515424540666,0.005649999999999933,0.684482687073692
3,10,499,0.8019889926741594,0.7954929667758875,0.006496025898271807,0.5404648190961976,0.5472737905396698,0.003576177010233106,0.971576694504871,0.004687499999999956,0.8718191021469163
3,5,499,0.8019953331614493,0.7954516024531025,0.0065437307083467955,0.5404642588553705,0.5472769137393069,0.003692189513037125,0.9620540218754852,0.005562500000000026,0.7030311959240958
3,20,499,0.8016908413170345,0.7953398312347874,0.006351010082247144,0.540875020078507,0.5475087057958995,0.003919735222501164,0.9381208145519947,0.005412500000000042,0.7344872519436765
2,5,499,0.7897383334012583,0.7891173489883456,0.0006209844129126951,0.5537750841054611,0.5545657369051548,0.005996510210085959,0.5183100620762973,0.0044874999999999915,0.902550468722003
2,10,499,0.7897202293389253,0.7890598464200066,0.0006603829189186783,0.5538274051580874,0.5546205192716537,0.006050710021995087,0.5066047499068917,0.004275000000000001,0.9305668141891895
2,30,499,0.7897647621678578,0.7890452803034469,0.0007194818644109535,0.5537734901768409,0.5546276804351893,0.005225240939569997,0.6924839602594464,0.004400000000000001,0.9146938680384763
2,20,499,0.789690967546029,0.7890263496191351,0.0006646179268938734,0.5538351438123387,0.5546576523967284,0.006039742012669103,0.5089642794050606,0.0045499999999999985,0.8933780344443103
